name,area_name,salary_from,salary_to,salary_currency,published_at,employer_name,requirement,schedule_id,working_hours_id,work_schedule_by_days,professional_roles,experience_name,employment_id
Middle+/Senior Android developer,Алматы,,,,2024-12-16T15:14:15+0300,red_mad_robot,"...лет опыта коммерческой <highlighttext>разработки</highlighttext> под <highlighttext>Android</highlighttext>. Глубокое знание Kotlin и платформы <highlighttext>Android</highlighttext>. Владение Kotlin Coroutines, Flow. Владение <highlighttext>Android</highlighttext> Jetpack (ViewModel...",fullDay,HOURS_8,5/2,"Программист, разработчик",От 3 до 6 лет,full
Разработчик Android,Астана,,200.0,USD,2024-12-04T19:41:06+0300,Console Monetizer LLC,"Наличие верифицированного аккаунта Google Play Console. Наличие опыта прошлых публикаций в Google Play Console, требуемый опыт не менее 1 года. ",remote,FLEXIBLE,Свободный,"Программист, разработчик",От 1 года до 3 лет,project
Product designer,Алматы,,,,2024-11-28T12:07:25+0300,"Beeline, ТМ","Базовые навыки HTML и CSS (будешь тесно взаимодействовать с frontend-<highlighttext>разработчиком</highlighttext>). Если умеешь работать в 3D, motion или анимации...",remote,HOURS_8,5/2,"Дизайнер, художник",От 3 до 6 лет,full
Senior QA Engineer,Алматы,800000.0,,KZT,2024-12-15T13:45:30+0300,IT Space Apps,"1)Навыки управления ресурсами: должен уметь эффективно планировать и распределять задачи среди QA команды, обеспечивая максимальную продуктивность и избегая перегрузок. ",fullDay,HOURS_8,5/2,Тестировщик,От 3 до 6 лет,full
QA Team Lead,Алматы,,,,2024-11-20T11:03:24+0300,Khan Group,"Опыт написания тестов ui и api. Опыт тестирования мобильных приложений (<highlighttext>Android</highlighttext>, IOS). Опыт работы с Fiddler, adb. Понимание основных принципов...",fullDay,HOURS_8,5/2,Тестировщик,От 3 до 6 лет,full
Flutter разработчик,Алматы,,,,2024-12-04T12:34:35+0300,Thousand IT Company,Опыт программирования на языке flutter от 1 года обязательно. Опыт программирования на любом языке не менее года. Применять методы и...,fullDay,HOURS_8,5/2,"Программист, разработчик",От 1 года до 3 лет,full
Android Разработчик (Middle/Senior),Алматы,,,,2024-12-05T17:43:20+0300,RedLab,Опыт коммерческой мобильной <highlighttext>разработки</highlighttext> от 4 лет. <highlighttext>Android</highlighttext> Studio и Kotlin в повседневной <highlighttext>разработке</highlighttext>. Опыт в проектировании клиент-серверного взаимодействия. ,remote,HOURS_8,5/2,"Программист, разработчик",От 3 до 6 лет,full
Node.js backend developer,Астана,,,,2024-11-25T15:29:48+0300,Zoftify Eesti OÜ,Work in an agile environment. 2+ years of Node.js experience. Practical experience with Typescript. Experience in building REST API...,remote,HOURS_8,5/2,"Программист, разработчик",От 1 года до 3 лет,full
Flutter-разработчик,Алматы,,600000.0,KZT,2024-11-26T07:37:35+0300,DIP KZ,"Опыт работы с State Manager-ом (Bloc, Cubit). Знание принципов <highlighttext>разработки</highlighttext> мобильных приложений для iOS и <highlighttext>Android</highlighttext>. Опыт работы с...",fullDay,HOURS_8,5/2,"Программист, разработчик",От 1 года до 3 лет,full
Разработчик гибридных мобильных приложений,Алматы,,,,2024-11-18T08:20:00+0300,Business Applications Solutions,"Понимание кроссплатформенной <highlighttext>разработки</highlighttext> и опыт создания приложений, которые работают без потерь производительности как на iOS, так и на <highlighttext>Android</highlighttext>. ",fullDay,HOURS_8,5/2,"Программист, разработчик",От 3 до 6 лет,full
Инженер по обеспечению качества встроенного ПО (QA),Алматы,550000.0,850000.0,KZT,2024-12-16T10:10:55+0300,Suretter Software (Суреттер Софтваре),Готовность к рутинным задачам. Навыки работы с операционными системами Windows/Linux/<highlighttext>Android</highlighttext>. Навыки работы с консолью Windows/Linux. ,fullDay,HOURS_8,5/2,Тестировщик,От 1 года до 3 лет,full
Менеджер продукта,Астана,,,,2024-12-15T16:20:46+0300,«Izi Paq»,"Технические навыки: Знание процессов <highlighttext>разработки</highlighttext> мобильных приложений: понимание платформ iOS и <highlighttext>Android</highlighttext>. Опыт работы с инструментами управления проектами: JIRA, Trello...",fullDay,HOURS_8,5/2,Менеджер продукта,От 3 до 6 лет,full
Senior Unity Developer (Mobile midcore Games),Астана,500000.0,1500000.0,KZT,2024-11-23T12:29:34+0300,AB-Service Company,...<highlighttext>разработки</highlighttext> мобильных игр на Unity от 6 лет. Уверенное знание C# и опыт использования паттернов проектирования. Знание особенностей платформ <highlighttext>Android</highlighttext>...,fullDay,HOURS_8,5/2,"Программист, разработчик",Более 6 лет,full
React Native Developer,Астана,,,,2024-11-18T14:47:22+0300,Zoftify Eesti OÜ,"Experience <highlighttext>developing</highlighttext> pixel-perfect mobile apps. Good spoken English. Commercial native app <highlighttext>development</highlighttext> experience (iOS, <highlighttext>Android</highlighttext>). Knowledge of the react...",remote,HOURS_8,5/2,"Программист, разработчик",От 1 года до 3 лет,full
Product Designer в Avtoelon.uz,Алматы,650000.0,1100000.0,KZT,2024-12-02T12:12:13+0300,Kolesa (АО Колеса),"Опыт работы с мобильными интерфейсами в продуктовой команде. Умение слушать и слышать разных стейкхолдеров. Навыки работы с аналитикой, проведения UX...",fullDay,HOURS_8,5/2,"Дизайнер, художник",От 1 года до 3 лет,full
Unity Developer (Middle/Senior),Астана,1100.0,,USD,2024-12-16T15:25:07+0300,Black Fire (БЛЭК ФАЕР),"Опыт <highlighttext>разработки</highlighttext> коммерческих проектов на Unity (2+ лет). Опыт <highlighttext>разработки</highlighttext> проектов, выпущенных в production. Опыт работы с <highlighttext>Android</highlighttext>, iOS. ",remote,HOURS_8,5/2,"Программист, разработчик",От 1 года до 3 лет,full
Flutter Senior / Team Leader,Алматы,1500.0,3000.0,USD,2024-11-21T11:58:45+0300,Paloma365,Знание русского и английского языка.,fullDay,HOURS_8,5/2,"Программист, разработчик",Более 6 лет,full
Full stack developer (React Native/Expo и Node.js/Nest),Алматы,,,,2024-12-15T12:58:59+0300,FETUSPLUS,Уверенные знания и опыт работы с Node.js/NestJS. Понимание принципов <highlighttext>разработки</highlighttext> RESTful API. Опыт работы с системами аутентификации и авторизации. ,fullDay,HOURS_8,5/2,"Программист, разработчик",От 3 до 6 лет,full
Android Разработчик (Middle/Senior),Астана,,,,2024-12-11T12:41:18+0300,RedLab,Опыт коммерческой мобильной <highlighttext>разработки</highlighttext> от 4 лет. <highlighttext>Android</highlighttext> Studio и Kotlin в повседневной <highlighttext>разработке</highlighttext>. Опыт в проектировании клиент-серверного взаимодействия. ,remote,HOURS_8,5/2,"Программист, разработчик",От 3 до 6 лет,full
Аналитик Middle в сфере создания мобильных приложений,Алматы,,,,2024-12-06T10:17:22+0300,Business Applications Solutions,"Понимание особенностей гибридной <highlighttext>разработки</highlighttext> для <highlighttext>Android</highlighttext> и iOS, понимание принципов работы гибридных приложений (Flutter, React Native). Способность собирать и обрабатывать...",fullDay,HOURS_8,5/2,Системный аналитик,От 3 до 6 лет,full
Senior C++ Software Engineer (Build System),Астана,,,,2024-12-15T20:02:51+0300,Playrix,Опыт <highlighttext>разработки</highlighttext> коммерческих проектов на С++ не менее пяти лет (опыт в gamedev необязателен). Опыт с кроссплатформенной <highlighttext>разработкой</highlighttext> под iOS...,remote,HOURS_8,5/2,"Программист, разработчик",От 3 до 6 лет,full
Full stack developer (React Native/Expo и Node.js/Nest),Астана,,,,2024-12-15T12:58:59+0300,FETUSPLUS,Уверенные знания и опыт работы с Node.js/NestJS. Понимание принципов <highlighttext>разработки</highlighttext> RESTful API. Опыт работы с системами аутентификации и авторизации. ,fullDay,HOURS_8,5/2,"Программист, разработчик",От 3 до 6 лет,full
Technical Director,Астана,,,,2024-12-01T13:12:06+0300,Playrix,"Сильная техническая экспертиза и hand-on опыт в <highlighttext>разработке</highlighttext>, предпочтительно в крупных мобильных продуктах (iOS/<highlighttext>Android</highlighttext> native, C++/C#/Java...",fullDay,HOURS_8,5/2,Технический директор (CTO),Более 6 лет,full
Lead QA Engineer (Clockmaker),Астана,,,,2024-12-05T15:54:39+0300,Belka Games CY LTD,Experience <highlighttext>developing</highlighttext> work processes with test management systems (TestRail). Experience with task management systems (Asana). Experience with <highlighttext>Android</highlighttext> debug bridge...,fullDay,HOURS_8,5/2,Тестировщик,Более 6 лет,full
Middle C++ Software Engineer (Gameplay),Астана,,,,2024-12-10T21:25:28+0300,Playrix,Опыт коммерческого программирования на С++ от двух лет. Опыт клиентской продуктовой <highlighttext>разработки</highlighttext>. Опыт игровой <highlighttext>разработки</highlighttext>. Опыт работы с популярными игровыми...,fullDay,HOURS_8,5/2,"Программист, разработчик",От 1 года до 3 лет,full
Senior Full-stack developer,Алматы,,,,2024-11-22T11:14:25+0300,United Developers,"Уверенное знание TypeScript. Уверенное знание React.js. Опыт <highlighttext>разработки</highlighttext> backend-приложений на NodeJS (NestJS, Prisma, Postgres);высокая скорость работы (анализ своего...",fullDay,HOURS_8,5/2,"Программист, разработчик",Более 6 лет,full
Senior Engineering Manager,Алматы,,,,2024-11-21T12:26:26+0300,Playrix,"Стек: C++, Python, Go, JS. Опыт работы в <highlighttext>разработке</highlighttext> игр. Опыт создания инструментов для <highlighttext>разработки</highlighttext> mobile/desktop продуктов. ",fullDay,HOURS_8,5/2,Технический директор (CTO),Более 6 лет,full
Senior Unity Software Engineer (Gameplay),Астана,,,,2024-12-05T14:49:56+0300,Playrix,"Опыт <highlighttext>разработки</highlighttext> коммерческих проектов на С++ и/или Unity не менее 4 лет. Опыт <highlighttext>разработки</highlighttext> проектов, выпущенных в production. ",fullDay,HOURS_8,5/2,"Программист, разработчик",От 3 до 6 лет,full
Senior Frontend Developer (React Native),Алматы,,,,2024-12-04T11:12:03+0300,Andersen,"Proven experience working with React framework for channels <highlighttext>development</highlighttext> and integrations (Card, Payments, Bill payments etc.) in a banking environment.",fullDay,HOURS_8,5/2,"Программист, разработчик",Более 6 лет,full
Director of Engineering,Алматы,,,,2024-12-01T13:21:12+0300,Playrix,"Сильная техническая экспертиза и hands-on опыт в <highlighttext>разработке</highlighttext>, предпочтительно в крупных mobile или desktop продуктах (iOS/<highlighttext>Android</highlighttext> native, C++...",fullDay,HOURS_8,5/2,Технический директор (CTO),Более 6 лет,full
Senior C++/Python Software Engineer (Engine),Астана,,,,2024-12-05T14:26:42+0300,Playrix,Опыт проектирования архитектуры. Опыт кроссплатформенной <highlighttext>разработки</highlighttext>. Опыт <highlighttext>разработки</highlighttext> под iOS или <highlighttext>Android</highlighttext>. Знание OpenGL/OpenGL ES. Опыт работы с популярными...,fullDay,HOURS_8,5/2,"Программист, разработчик",От 3 до 6 лет,full
Senior Engineering Manager,Астана,,,,2024-11-21T12:26:26+0300,Playrix,"Стек: C++, Python, Go, JS. Опыт работы в <highlighttext>разработке</highlighttext> игр. Опыт создания инструментов для <highlighttext>разработки</highlighttext> mobile/desktop продуктов. ",fullDay,HOURS_8,5/2,Технический директор (CTO),Более 6 лет,full
Senior C++ Software Engineer (Tools),Астана,,,,2024-12-05T14:37:32+0300,Playrix,Опыт <highlighttext>разработки</highlighttext> под мобильные платформы iOS и <highlighttext>Android</highlighttext>. Опыт игровой <highlighttext>разработки</highlighttext>. Опыт работы с Python. Опыт CI/CD. ,fullDay,HOURS_8,5/2,"Программист, разработчик",Более 6 лет,full
Lead C++ Software Engineer (Gameplay),Астана,,,,2024-12-05T15:56:25+0300,Playrix,"Опыт <highlighttext>разработки</highlighttext> коммерческих проектов на С++ и/или Unity не менее 3 лет. Опыт <highlighttext>разработки</highlighttext> проектов, выпущенных в production. ",fullDay,HOURS_8,5/2,"Программист, разработчик",Более 6 лет,full
Senior C++ Software Engineer (Gameplay),Астана,,,,2024-12-05T13:25:15+0300,Playrix,"Опыт <highlighttext>разработки</highlighttext> коммерческих проектов на С++ и/или Unity не менее 4 лет. Опыт <highlighttext>разработки</highlighttext> проектов, выпущенных в production. ",fullDay,HOURS_8,5/2,"Программист, разработчик",От 3 до 6 лет,full
Lead Unity Software Engineer (Gameplay),Астана,,,,2024-12-11T18:21:23+0300,Playrix,"Опыт <highlighttext>разработки</highlighttext> коммерческих проектов на С++ и/или Unity не менее 3 лет. Опыт <highlighttext>разработки</highlighttext> проектов, выпущенных в production. ",fullDay,HOURS_8,5/2,"Программист, разработчик",Более 6 лет,full
